code,component_type,component_id,coefficient
2.2.1.5.6,material,18,202.0
2.2.1.5.6,material,110,1009.0
2.2.1.5.7,material,15,437.0
2.2.1.5.7,material,16,701.0
2.2.1.5.7,material,18,202.0
2.2.1.5.7,material,110,1009.0
2.2.1.5.8,material,15,457.0
2.2.1.5.8,material,16,681.0
2.2.1.5.8,material,18,202.0
2.2.1.5.8,material,110,1009.0
2.2.1.5.9,material,15,468.0
2.2.1.5.9,material,16,671.0
2.2.1.5.9,material,18,202.0
2.2.1.5.9,material,110,1009.0
2.2.1.6.1,material,113,1.02
2.2.1.9.1,material,15,0.55
2.2.1.9.1,material,41,0.0055
2.2.1.9.2,material,114,1.02
2.2.1.9.3,material,115,1.02
2.2.2.1.1,material,70,0.432
2.2.2.1.1,material,121,1.2
2.2.2.1.10,material,15,117.0
2.2.2.1.10,material,121,1.2
2.2.2.1.10,material,122,0.561
2.2.2.1.2,material,15,252.0
2.2.2.1.2,material,121,1.2
2.2.2.1.2,material,122,0.44
2.2.2.1.3,material,15,252.0
2.2.2.1.3,material,121,1.2
2.2.2.1.3,material,122,0.44
2.2.2.1.4,material,15,202.0
2.2.2.1.4,material,121,1.2
2.2.2.1.4,material,122,0.485
2.2.2.1.5,material,15,202.0
2.2.2.1.5,material,121,1.2
2.2.2.1.5,material,122,0.485
2.2.2.1.6,material,15,163.0
2.2.2.1.6,material,121,1.2
2.2.2.1.6,material,122,0.52
2.2.2.1.7,material,15,163.0
2.2.2.1.7,material,121,1.2
2.2.2.1.7,material,122,0.52
2.2.2.1.8,material,15,135.0
2.2.2.1.8,material,121,1.2
2.2.2.1.8,material,122,0.544
2.2.2.1.9,material,15,135.0
2.2.2.1.9,material,121,1.2
2.2.2.1.9,material,122,0.544
2.2.2.2.1,material,15,190.0
2.2.2.2.1,material,18,121.0
2.2.2.2.1,material,117,494.0
2.2.2.2.1,material,121,0.528
2.2.2.2.1,material,123,606.0
2.2.2.2.11,material,15,117.0
2.2.2.2.11,material,121,1.2
2.2.2.2.11,material,122,0.561
2.2.2.2.2,material,15,190.0
2.2.2.2.2,material,18,121.0
2.2.2.2.2,material,117,494.0
2.2.2.2.2,material,121,0.528
2.2.2.2.2,material,123,606.0
2.2.2.2.3,material,15,184.0
2.2.2.2.3,material,18,121.0
2.2.2.2.3,material,117,499.0
2.2.2.2.3,material,121,0.528
2.2.2.2.3,material,123,606.0
2.2.2.2.4,material,15,221.0
2.2.2.2.4,material,18,141.0
2.2.2.2.4,material,117,576.0
2.2.2.2.4,material,121,0.396
2.2.2.2.4,material,123,706.0
2.2.2.2.5,material,15,221.0
2.2.2.2.5,material,18,141.0
2.2.2.2.5,material,117,576.0
2.2.2.2.5,material,121,0.396
2.2.2.2.5,material,123,706.0
2.2.2.2.6,material,15,194.0
2.2.2.2.6,material,17,0.468
2.2.2.2.6,material,117,0.312
2.2.2.2.6,material,121,0.45
2.2.2.3.1,material,81,0.0314
2.2.2.3.13,material,81,0.1963
2.2.2.3.5,material,81,0.0707
2.2.2.3.9,material,81,0.1257
2.2.2.4.16,material,124,0.2355
2.2.2.4.17,material,124,0.3391
2.2.2.4.18,material,124,0.6029
2.2.2.4.19,material,124,0.942
2.3.1.1,material,124,0.053
2.3.1.1,material,125,1.15
2.3.1.2,material,124,0.0075
2.3.1.2,material,126,1.0
2.3.1.3,material,127,1.0
2.3.1.4,material,124,0.053
2.3.1.4,material,128,1.15
2.3.1.5,material,124,0.053
2.3.1.5,material,129,1.15
2.3.1.6,material,129,1.15
2.4.1.1,material,49,0.005
2.4.1.1,material,107,0.2
2.4.1.1,material,130,0.008
2.4.1.1,material,131,9.394
2.4.1.1,material,132,0.08
2.4.1.1,material,133,3.882
2.4.1.2,material,49,0.005
2.4.1.2,material,66,0.046
2.4.1.2,material,107,0.2
2.4.1.2,material,132,0.043
2.4.1.2,material,133,0.693
2.4.1.3,material,39,0.004
2.4.1.3,material,66,0.046
2.4.1.3,material,107,0.2
2.4.1.3,material,132,0.048
2.4.1.3,material,133,0.693
2.4.1.4,material,39,0.004
2.4.1.4,material,66,0.2
2.4.1.4,material,134,0.048
2.4.6.1,material,15,26.08
2.4.6.1,material,16,60.8
2.4.6.1,material,17,82.32
2.4.6.1,material,18,17.2
2.4.6.2,material,15,32.6
2.4.6.2,material,16,76.0
2.4.6.2,material,17,102.9
2.4.6.2,material,18,21.5
2.4.6.3,material,15,39.12
2.4.6.3,material,16,91.2
2.4.6.3,material,17,123.48
2.4.6.3,material,18,25.8
2.4.6.4,material,15,48.9
2.4.6.4,material,16,114.0
2.4.6.4,material,17,154.35
2.4.6.4,material,18,32.25
2.5.1,material,98,0.01
2.5.1,material,135,1.05
2.6.2.3,material,136,0.8333
2.6.2.3,material,137,0.3
2.6.2.3,material,138,0.1477
2.7.1,material,17,0.0196
2.7.1,material,139,1.05
2.7.1,material,140,0.4561
2.7.1,material,141,0.2
2.7.10,material,143,1.3
2.7.10,material,144,14.85
2.7.11,material,41,0.432
2.7.11,material,143,1.3
2.7.11,material,144,14.85
2.7.12,material,143,1.3
2.7.12,material,144,14.85
2.7.13,material,41,0.432
2.7.13,material,143,1.3
2.7.13,material,145,1.0
2.7.14,material,143,1.3
2.7.14,material,145,1.0
2.7.15,material,41,0.432
2.7.15,material,143,1.3
2.7.15,material,145,1.0
2.7.16,material,143,1.3
2.7.16,material,145,1.0
2.7.2,material,17,0.0235
2.7.2,material,140,0.6774
2.7.2,material,141,0.35
2.7.2,material,142,1.05
2.7.3,material,140,6.0
2.7.4,material,15,6.34
2.7.4,material,41,0.012
2.7.5,material,41,0.432
2.7.5,material,143,1.3
2.7.5,material,144,13.85
2.7.6,material,143,1.3
2.7.6,material,144,13.85
2.7.7,material,41,0.432
2.7.7,material,143,1.3
2.7.7,material,144,13.85
2.7.8,material,143,1.3
2.7.8,material,144,13.85
2.7.9,material,41,0.432
2.7.9,material,143,1.3
2.7.9,material,144,14.85
3.1.1.1,material,146,25.0
3.1.1.2,material,147,25.0
3.1.1.3,material,148,12.0
3.1.1.4,material,14,0.03
3.1.1.4,material,149,11.0
3.1.1.5,material,15,8.0
3.1.1.5,material,122,0.032
3.1.1.5,material,150,5.0
3.1.1.6,material,15,8.0
3.1.1.6,material,122,0.032
3.1.1.6,material,151,5.0
3.1.1.7,material,15,8.0
3.1.1.7,material,122,0.032
3.1.1.7,material,150,4.0
3.1.1.8,material,15,10.8
3.1.1.8,material,122,0.032
3.1.1.8,material,152,3.5
3.1.1.8,material,153,0.05
3.1.1.8,material,154,1.0
3.1.2.1,material,155,0.5
3.1.2.1,material,156,0.12
3.1.2.10,material,156,0.12
3.1.2.10,material,165,0.37
3.1.2.11,material,156,0.12
3.1.2.11,material,166,0.38
3.1.2.12,material,156,0.12
3.1.2.12,material,167,0.46
3.1.2.13,material,156,0.12
3.1.2.13,material,168,0.49
3.1.2.14,material,156,0.12
3.1.2.14,material,169,0.57
3.1.2.15,material,170,2.4
3.1.2.15,material,171,6.0
3.1.2.16,material,171,6.0
3.1.2.16,material,172,2.1
3.1.2.17,material,171,6.0
3.1.2.17,material,173,2.0
3.1.2.18,material,171,6.0
3.1.2.18,material,174,1.1
3.1.2.19,material,171,6.0
3.1.2.19,material,175,1.2
3.1.2.2,material,156,0.12
3.1.2.2,material,157,0.6
3.1.2.20,material,171,6.0
3.1.2.20,material,176,1.2
3.1.2.21,material,171,6.0
3.1.2.21,material,177,1.1
3.1.2.22,material,171,6.0
3.1.2.22,material,178,1.1
3.1.2.23,material,171,6.0
3.1.2.23,material,179,1.1
3.1.2.3,material,156,0.12
3.1.2.3,material,158,0.6
3.1.2.4,material,156,0.12
3.1.2.4,material,159,0.75
3.1.2.5,material,156,0.12
3.1.2.5,material,160,0.42
3.1.2.6,material,156,0.12
3.1.2.6,material,161,0.35
3.1.2.7,material,156,0.12
3.1.2.7,material,162,0.44
3.1.2.8,material,156,0.12
3.1.2.8,material,163,0.51
3.1.2.9,material,156,0.12
3.1.2.9,material,164,0.8
3.1.3.1,material,153,0.02
3.1.3.1,material,180,0.7
3.1.3.10,material,153,0.04
3.1.3.10,material,193,0.3
3.1.3.11,material,156,0.02
3.1.3.11,material,194,1.2
