;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;3.7;PEKERJAAN PLESTERAN DAN ACIAN;;;;;;
;3.7.1;Pemasangan 1 m2 plesteran 1SP : 1PP tebal 15 mm;m2; Rp67.611,00 ;0;0;;
;3.7.2;Pemasangan 1 m2 plesteran 1SP : 2PP tebal 15 mm;m2; Rp61.271,00 ;0;0;;
;3.7.3;Pemasangan 1 m2 plesteran 1SP : 3PP tebal 15 mm;m2; Rp58.678,00 ;0;0;;
;3.7.4;Pemasangan 1 m2 plesteran 1SP : 4PP tebal 15 mm;m2; Rp56.784,00 ;0;0;;
;3.7.5;Pemasangan 1 m2 plesteran 1SP : 5PP tebal 15 mm;m2; Rp55.879,00 ;0;0;;
;3.7.6;Pemasangan 1 m2 plesteran 1SP : 6PP tebal 15 mm;m2; Rp55.083,00 ;0;0;;
;3.7.7;Pemasangan 1 m2 plesteran dengan semen instan tebal 10 mm;m2; Rp67.745,00 ;0;0;;
;3.7.8;Pemasangan 1 m2 acian;m2; Rp45.248,00 ;0;0;;
;3.7.9;Pemasangan 1 m2 berapen 1SP : 5PP tebal 15 mm;m2; Rp66.950,00 ;0;0;;
;3.7.10;Pemasangan 1 m' plesteran skoning 1SP : 3PP lebar 10 cm;m2; Rp57.545,00 ;0;0;;
;3.7.11;Pemasangan 1 m2 plesteran serbuk batu granit 1SP : 2 granit, tebal 10 mm;m2; Rp252.835,00 ;0;0;;
;3.7.12;Pemasangan 1 m2 plesteran serbuk batu traso 1SP : 2 traso, tebal 10 mm;m2; Rp269.335,00 ;0;0;;
;3.7.13;Pemasangan 1 m2 kamprotan untuk finishing 1SP : 2PP;m2; Rp34.601,00 ;Revisi;Tidak ada perubahan koefisien hanya nama bahan pasir jadi pasir pasang saja ;;
;3.7.14;Pemasangan 1 m2 finishing siar pasangan bata merah;m2; Rp36.410,00 ;0;0;;
;3.7.15;Pemasangan 1 m2 finishing dinding siar pasangan conblock ekspose;m2; Rp26.323,00 ;0;0;;
;3.7.16;Pekerjaan 1 m2 Beton Expose ;m2; Rp40.755,00 ;0;0;;
;3.8;PEKERJAAN PENGECATAN DAN PELITURAN;;;;;;
;3.8.1;Pengikisan/pengerokan 1 m2 permukaan cat lama (cat minyak);m2; Rp19.134,00 ;0;0;;
;3.8.2;Pencucian 1 m2 permukaan tembok yang pernah dicat;m2; Rp19.217,00 ;0;0;;
;3.8.3;Pengerokan 1 m2 karat pada permukaan baja cara manual;m2; Rp19.250,00 ;0;0;;
;3.8.4;Pengecatan 1 m2 bidang kayu baru (1 lapis plamir, 1 lapis cat dasar, 2 lapis cat penutup);m2; Rp47.438,00 ;0;0;;
;3.8.5;Pengecatan 1 m2 bidang kayu baru (1 lapis plamir, 1 lapis cat dasar, 3 lapis cat penutup);m2; Rp71.093,00 ;0;0;;
;3.8.6;Pelaburan 1 m2 bidang kayu dengan teak oil;m2; Rp27.686,00 ;0;0;;
;3.8.7;Pelaburan 1 m2 bidang kayu dengan pelitur;m2; Rp63.394,00 ;0;0;;
;3.8.8;Pelaburan 1 m2 bidang kayu dengan residu atau Ter;m2; Rp20.185,00 ;0;0;;
;3.8.9;Pelaburan 1 m2 bidang kayu dengan vernis;m2; Rp56.980,00 ;0;0;;
;3.8.10;Pengecatan 1 M2 Tembol Baru;;;;;;
;3.8.10.1;Pengecatan 1 m2 tembok baru Interior( 1 lapis cat dasar, 2 lapis cat penutup);m2; Rp70.173,00 ;0;0;;
;3.8.10.2;Pengecatan 1 m2 tembok baru Ekterior (1 lapis cat dasar, 2 lapis cat penutup), eksterior;m2; Rp75.981,00 ;0;0;;
;3.8.11;Pengecatan 1 m2 Tembok Lama ;;;;;;
;3.8.11.1;Pengecatan 1 m2 tembok lama Interior  (1 lapis cat dasar, 2 lapis cat penutup);m2; Rp56.371,00 ;0;0;;
;3.8.11.2;Pengecatan 1 m2 tembok lama Ekterior (1 lapis cat dasar, 2 lapis cat penutup);m2; Rp58.820,00 ;0;0;;
;3.8.12;Pelaburan 1 m2 tembok baru dengan kapur padam (kapur pemutih);m2; Rp26.520,00 ;0;0;;
;3.8.13;Pelaburan 1 m2 tembok lama dengan kapur padam (kapur pemutih);m2; Rp16.755,00 ;0;0;;
;3.8.14;Pengecatan 1 m2 permukaan baja galvanis 3 lapis cat terakhir secara semprot;m2; Rp76.703,00 ;0;0;;
;3.8.15;Pengecatan 1 m2 permukaan baja galvanis secara manual sistem 3 lapis;m2; Rp213.644,00 ;0;0;;
;3.8.16;Pengecatan 1 m2 permukaan baja dengan menie besi (Zinc Chromate);m2; Rp44.211,00 ;0;0;;
;3.8.17;Pengecatan 1 m2 permukaan baja dengan menie besi dengan perancah;m2; Rp79.570,00 ;0;0;;
;3.8.18;Pengecatan 1 m2 permukaan baja galvanis secara manual sistem 4 lapis;m2; Rp90.381,00 ;0;0;;
;3.8.19;Pengecatan 1 m2 permukaan baja galvanis secara manual sistem 1 lapis cat penutup;m2; Rp36.150,00 ;0;0;;
;3.8.20;Pengecatan 1 m2 plafon (1 lapis cat dasar dan 2 lapis cat penutup);m2; Rp- ;0;0;;
;3.8.20.1;Pengecatan 1 m2 plafon Interior ( 1 lapis Cat Dasar dan 2 Lapis Cat Penutup);m2; Rp60.078,00 ;0;0;;
;3.8.20.2;Pengecatan 1 m2 plafon eksterior ( 1 lapis Cat Dasar dan 2 Lapis Cat Penutup);m2; Rp59.062,00 ;Revisi ;Tidak ada perubahan Koefisien Cuma di nama bahan saja ;;
;3.8.21;Pengecatan 1 m2 cat epoxy tebal 2 mm ;m2; Rp92.224,00 ;0;0;;
;3.8.22;Pelituran 1 m2 dengan pelitur melamic;m2; Rp306.460,00 ;0;0;;
;3.9;PEKERJAAN PENUTUP LANTAI;;;;;;
;3.9.1 ;UBIN PC;;;;;;
;3.9.1;Pemasangan 1 m2 lantai ubin PC abu-abu uk. 20x20 cm (1SP : 2PP) ;m2; Rp112.486,00 ;0;0;;
;3.9.1.2;Pemasangan 1 m2 lantai ubin PC abu-abu uk. 30x30 cm (1SP : 2PP) ;m2; Rp100.297,00 ;0;0;;
;3.9.1.3;Pemasangan 1 m2 lantai ubin PC abu-abu uk. 40x40 cm (1SP : 2PP) ;m2; Rp92.107,00 ;0;0;;
;3.9.1.4;Pemasangan 1 m2 lantai ubin PC abu-abu uk. 60x60 cm (1SP : 2PP) ;m2; Rp89.913,00 ;0;0;;
;3.9.1.5;Pemasangan 1 m’ plint ubin PC abu-abu uk. 10 s.d. 15x20 cm (1SP : 2PP);m'; Rp20.740,00 ;0;0;;
;3.9.1.6;Pemasangan 1 m’ plint ubin PC abu-abu uk. 10 s.d. 15x30 cm (1SP : 2PP);m'; Rp21.803,00 ;0;0;;
;3.9.1.7;Pemasangan 1 m’ plint ubin PC abu-abu uk. 10 s.d. 15x40 cm (1SP : 2PP);m'; Rp22.644,00 ;0;0;;
;3.9.1.8;Pemasangan 1 m’ plint ubin PC abu-abu uk. 10 s.d. 15x60 cm (1SP : 2PP);m'; Rp22.661,00 ;0;0;;
;3.9.2;UBIN WARNA;;;0;0;;
;3.9.2.1;Pemasangan 1 m2 lantai ubin warna uk. 20x20 cm (1SP : 2PP);m2; Rp125.356,00 ;0;0;;
;3.9.2.2;Pemasangan 1 m2 lantai ubin warna uk. 30x30 cm (1SP : 2PP);m2; Rp127.284,00 ;0;0;;
;3.9.2.3;Pemasangan 1 m2 lantai ubin warna uk. 40x40 cm (1SP : 2PP);m2; Rp115.084,00 ;0;0;;
;3.9.2.4;Pemasangan 1 m2 lantai ubin warna uk. 60x60 cm (1SP : 2PP);m2; Rp109.200,00 ;0;0;;
;3.9.2.5;Pemasangan 1 m' plint ubin warna uk. 10 s.d. 15x20 cm (1SP : 2PP);m2; Rp25.240,00 ;0;0;;
;3.9.2.6;Pemasangan 1 m' plint ubin warna uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp25.341,00 ;0;0;;
;3.9.2.7;Pemasangan 1 m' plint ubin warna uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp27.145,00 ;0;0;;
;3.9.2.8;Pemasangan 1 m' plint ubin warna uk. 10 s.d. 15x60 cm (1SP : 2PP);m2; Rp28.124,00 ;0;0;;
;3.9.3;UBIN TERASO ;;;0;0;;
;3.9.3.1;Pemasangan 1 m2 lantai ubin teraso uk. 30x30 cm (1SP : 2PP);m2; Rp377.542,00 ;0;0;;
;3.9.3.2;Pemasangan 1 m2 lantai ubin teraso uk. 40x40 cm (1SP : 2PP);m2; Rp288.348,00 ;0;0;;
;3.9.3.3;Pemasangan 1 m2 lantai teraso cor di tempat, tebal 3cm  ;m2; Rp212.553,00 ;0;0;;
;3.9.3.4;Pemasangan 1 m' plint ubin teraso uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp33.041,00 ;0;0;;
;3.9.3.5;Pemasangan 1 m' plint ubin teraso uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp35.807,00 ;0;0;;
;3.9.4;HOMOGENEOUS TILE;;;0;0;;
;3.9.4.1;Pemasangan 1 m2 lantai homogenous tile  Polis uk. 30x30 cm (1SP : 2PP);m2; Rp326.207,00 ;0;0;;
;3.9.4.2;Pemasangan 1 m2 lantai homogenous tile polish uk. 40x40 cm (1SP : 2PP);m2; Rp288.348,00 ;0;0;;
;3.9.4.3;Pemasangan 1 m2 lantai homogenous tile Polish  uk. 60x60 cm (1SP : 2PP);m2; Rp243.966,00 ;0;0;;
;3.9.4.4;Pemasangan 1 m' plint homogenous tile Polish  uk. 10 s.d. 15x30 cm (1SP : 2PP);m'; Rp36.891,00 ;0;0;;
;3.9.4.5;Pemasangan 1 m' plint homogenous tile polish uk. 10 s.d. 15x40 cm (1SP : 2PP);m'; Rp38.695,00 ;0;0;;
;3.9.4.6;Pemasangan 1 m' plint homogenous tile polish uk. 10 s.d. 15x60 cm (1SP : 2PP);m'; Rp38.712,00 ;0;0;;
;3.9.4.7;Pemasangan 1 m' lantai homogenous tile unpolish uk. 30x30 cm (1SP : 2PP);m'; Rp416.043,00 ;0;0;;
;3.9.4.8;Pemasangan 1 m' lantai homogenous tile unpolish uk. 40x40 cm (1SP : 2PP);m'; Rp353.321,00 ;0;0;;
;3.9.4.9;Pemasangan 1 m' lantai homogenous tile unpolish uk. 60x60 cm (1SP : 2PP);m'; Rp263.218,00 ;0;0;;
;3.9.4.10;Pemasangan 1 m' plint homogenous tile unpolish uk. 10 s.d. 15x30 cm (1SP : 2PP);m'; Rp44.591,00 ;0;0;;
;3.9.4.11;Pemasangan 1 m' plint homogenous tile unpolish uk. 10 s.d. 15x40 cm (1SP : 2PP);m'; Rp44.470,00 ;0;0;;
;3.9.4.12;Pemasangan 1 m' plint homogenous tile unpolish uk. 10 s.d. 15x60 cm (1SP : 2PP);m'; Rp44.487,00 ;0;0;;
;3.9.5;UBIN GRANIT;;;0;0;;
;3.9.5.1;Pemasangan 1 m2 lantai ubin granit uk. 30x30 cm (1SP : 2PP) ;m2; Rp251.771,00 ;0;0;;
;3.9.5.2;Pemasangan 1 m2 lantai ubin granit uk. 40x40 cm (1SP : 2PP) ;m2; Rp216.155,00 ;0;0;;
;3.9.5.3;Pemasangan 1 m2 lantai ubin granit uk. 60x60 cm (1SP : 2PP) ;m2; Rp179.792,00 ;0;0;;
;3.9.5.4;Pemasangan 1 m' plint ubin granit uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp40.741,00 ;0;0;;
;3.9.5.5;Pemasangan 1 m' plint ubin granit uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp41.582,00 ;0;0;;
;3.9.5.6;Pemasangan 1 m' plint ubin granit uk. 10 s.d. 15x60 cm (1SP : 2PP);m2; Rp38.712,00 ;0;0;;
;3.9.6;UBIN TERALUX;;;0;0;;
;3.9.6.1;Pemasangan 1 m2 lantai ubin teralux marmer uk. 30x30 cm (1SP : 2PP);m2; Rp647.049,00 ;0;0;;
;3.9.6.2;Pemasangan 1 m2 lantai ubin teralux marmer uk. 40x40 cm (1SP : 2PP);m2; Rp504.927,00 ;0;0;;
;3.9.6.3;Pemasangan 1 m2 lantai ubin teralux marmer uk. 60x60 cm (1SP : 2PP);m2; Rp308.140,00 ;0;0;;
;3.9.6.4;Pemasangan 1 m' plint ubin teralux kerang uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp25.341,00 ;0;0;;
;3.9.6.5;Pemasangan 1 m' plint ubin teralux kerang uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp27.145,00 ;0;0;;
;3.9.6.6;Pemasangan 1 m' plint ubin teralux kerang uk. 10 s.d. 15x60 cm (1SP : 2PP);m2; Rp27.162,00 ;0;0;;
;3.9.6.7;Pemasangan 1 m' plint ubin teralux marmer uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp27.266,00 ;0;0;;
;3.9.6.8;Pemasangan 1 m' plint ubin teralux marmer uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp27.145,00 ;0;0;;
;3.9.6.9;Pemasangan 1 m' plint ubin teralux marmer uk. 10 s.d. 15x60 cm (1SP : 2PP);m2; Rp27.162,00 ;0;0;;
;3.9.7;KERAMIK ARTISTIK ;;;0;0;;
;3.9.7.1;Pemasangan 1 m2 lantai keramik artistik uk. 8x8 cm (1SP : 2PP);m2; Rp288.698,00 ;0;0;;
;3.9.7.2;Pemasangan 1 m2 lantai keramik artistik uk. 10x10 cm (1SP : 2PP);m2; Rp281.479,00 ;0;0;;
;3.9.7.3;Pemasangan 1 m2 lantai keramik artistik uk. 20x20 cm (1SP : 2PP);m2; Rp240.417,00 ;0;0;;
;3.9.7.4;Pemasangan 1 m2 lantai keramik artistik uk. 30x30 cm (1SP : 2PP);m2; Rp221.168,00 ;0;0;;
;3.9.7.5;Pemasangan 1 m2 lantai keramik artistik uk. 40x40 cm (1SP : 2PP);m2; Rp211.544,00 ;0;0;;
;3.9.7.6;Pemasangan 1 m' plint internal cove artistik uk. 5x5x20 cm (1SP : 2PP);m2; Rp256.169,00 ;0;0;;
;3.9.8;KERAMIK ;;;0;0;;
;3.9.8.1;Pemasangan 1 m2 lantai keramik uk. 20x20 cm (1SP : 2PP);m2; Rp131.131,00 ;0;0;;
;3.9.8.2;Pemasangan 1 m2 lantai keramik uk. 30x30 cm (1SP : 2PP);m2; Rp120.868,00 ;0;0;;
;3.9.8.3;Pemasangan 1 m2 lantai keramik uk. 40x40 cm (1SP : 2PP);m2; Rp130.245,00 ;0;0;;
;3.9.8.4;Pemasangan Lantai Keramik untuk Variasi/Border ;;;0;0;;
;3.9.8.4.1;Pemasangan 1 m2 lantai keramik uk. 30x30 cm  untuk Variasi/Border (1SP : 2PP);m2; Rp294.915,00 ;0;0;;
;3.9.8.4.2;Pemasangan 1 m2 lantai keramik uk. 40x40 cm  untuk Variasi/Border (1SP : 2PP);m2; Rp302.056,00 ;0;0;;
;3.9.8.5;Pemasangan 1 m' plint keramik uk. 10 s.d. 15x20 cm (1SP : 2PP);m2; Rp28.128,00 ;0;0;;
;3.9.8.6;Pemasangan 1 m' plint keramik uk. 10 s.d. 15x30 cm (1SP : 2PP);m2; Rp29.191,00 ;0;0;;
;3.9.8.7;Pemasangan 1 m' plint keramik uk. 10 s.d. 15x40 cm (1SP : 2PP);m2; Rp30.032,00 ;0;0;;
;3.9.8.8;Pemasangan 1 m' plint keramik uk. 10 s.d. 15x60 cm (1SP : 2PP);m2; Rp29.087,00 ;0;0;;
;3.9.8.9;Pemasangan 1 m' Step Nosing Keramik 10cm x 60 cm (1SP:2PP);m2; Rp73.362,00 ;0;0;;
;3.9.9;PENUTUP LANTAI LAINNYA;;;0;0;;
;3.9.9.1;Pemasangan 1 m2 lantai marmer uk. 100x100 cm;m2; Rp1.101.410,00 ;0;0;;
;3.9.9.2;Pemasangan 1 m2 lantai karpet;m2; Rp131.191,00 ;0;0;;
;3.9.9.3;Pemasangan 1 m2 underlayer (pelapis bawah karpet);m2; Rp75.955,00 ;0;0;;
;3.9.9.4;Pemasangan 1 m2 lantai parquet kayu solid;m2; Rp507.083,00 ;0;0;;
;9.9.9.5;Pemasangan 1 m2 lantai engineering wood;m2; Rp383.960,00 ;0;0;;
;3.9.9.6;Pemasangan 1 m' plint kayu tebal 2 cm lebar 10 cm;m2; Rp122.984,00 ;0;0;;
;3.9.9.7;Pemasangan 1 m2 lantai vinyl uk. 30x30 cm;m2; Rp158.911,00 ;0;0;;
;3.9.9.8;Pemasangan 1 m' plint vinyl uk. 15x30 cm;m2; Rp52.844,00 ;0;0;;
;3.9.9.9;Pemasangan 1 m2 floor hardener;m2; Rp63.030,00 ;0;0;;
;3.9.9.10;Pemasangan 1 m2 lantai UPVC decking;m2; Rp1.531.101,00 ;0;0;;
;3.9.9.11;Pemolesan 1 m2 lantai ubin teraso, granit, marmer;m2; Rp84.357,00 ;0;0;;
;3.9.9.12;Pemasangan 1 m2 Lantai Keramik Tactile Ukuran 30x30 cm ( 1SP:2PP);m2; Rp542.152,00 ;Revisi;perubahan di peralatan awalnya ada alat mesin polos;;
;3.9.9.13;Pemasangan 1 m2 Lantai Keramik Tactile Ukuran 40x40 cm ( 1SP:2PP);m2; Rp356.931,00 ;Revisi;perubahan di peralatan awalnya ada alat mesin polos;;
;3,10;PEKERJAAN PENUTUP DINDING ;;;;;;
;3.10.1;Dinding Keramik ;;;;0;;
;3.10.1.1;Pemasangan 1 m2 dinding keramik artistik uk. 10x20 cm (1SP : 2PP);m2; Rp322.064,00 ;0;0;;
;3.10.1.2;Pemasangan 1 m2 dinding keramik artistik uk. 5x20 cm (1SP : 2PP);m2; Rp459.151,00 ;0;0;;
;3.10.1.3;Pemasangan 1 m2 dinding keramik uk. 10x20 cm (1SP : 2PP);m2; Rp258.186,00 ;0;0;;
;3.10.1.4;Pemasangan 1 m2 dinding keramik uk. 20x20 cm (1SP : 2PP);m2; Rp202.479,00 ;0;0;;
;3.10.2;Dinding Homogeneous Tile ;;;0;0;;
;3.10.2.1;Pemasangan 1 m2 dinding homogeneous tile Polish uk. 30x30 cm (1SP : 2PP);m2; Rp504.207,00 ;0;0;;
;3.10.2.2;Pemasangan 1 m2 dinding homogeneous tile Polish uk. 40x40 cm (1SP : 2PP);m2; Rp417.961,00 ;0;0;;
;3.10.2.3;Pemasangan 1 m2 dinding homogeneous tile polish uk. 60x60 cm (1SP : 2PP);m2; Rp212.454,00 ;0;0;;
;3.10.2.4;Pemasangan 1 m2 dinding homogeneous tile Unpolish uk. 30x30 cm (1SP : 2PP);m2; Rp504.207,00 ;0;0;;
;3.10.2.5;Pemasangan 1 m2 dinding homogeneous tile Unpolish uk. 40x40 cm (1SP : 2PP);m2; Rp417.961,00 ;0;0;;
;3.10.2.6;Pemasangan 1 m2 dinding homogeneous tile Unpolish uk. 60x60 cm (1SP : 2PP);m2; Rp212.454,00 ;0;0;;
;3.10.3;DINDING PORSELEN ;;;0;0;;
;3.10.3.1;Pemasangan 1 m2 dinding porselen uk. 11x11 cm (1SP : 2PP);m2; Rp321.948,00 ;0;0;;
;3.10.3.2;Pemasangan 1 m2 dinding porselen uk. 10x20 cm (1SP : 2PP);m2; Rp341.676,00 ;0;0;;
;3.10.3.3;Pemasangan 1 m2 dinding porselen uk. 20x20 cm (1SP : 2PP);m2; Rp201.656,00 ;0;0;;
;3.10.4;DINDING BATU ALAM ;;;0;0;;
;3.10.4.1;Pemasangan 1 m2 dinding bata pelapis uk. 3x7x24 cm;m2; Rp425.311,00 ;0;0;;
;3.10.4.2;Pemasangan 1 m2 dinding batu paras;m2; Rp320.842,00 ;0;0;;
;3.10.4.3;Pemasangan 1 m2 dinding batu tempel hitam;m2; Rp316.728,00 ;0;0;;
;3.10.5;PENUTUP DINDING LAINNYA ;;;0;0;;
;3.10.5.1;Pemasangan 1 m2 wallpaper lebar 50 cm;m2; Rp120.367,00 ;0;0;;
;3.10.5.2;Pemasangan 1 m2 dinding pemisah plywood rangkap, rangka kayu kelas II;m2; Rp552.649,00 ;Revisi;Bahan Paku 12 cm jadi paku 5 dan 10 cm ;;
;3.10.5.3;Pemasangan 1 m2 dinding lambisering dari papan kayu kelas I;m2; Rp608.204,00 ;0;0;;
;3.10.5.4;Pemasangan 1 m2 dinding lambrisering dari plywood (Kayu Lapis) ukuran 120x240cm;m2; Rp2.814.080,00 ;0;0;;
;3.10.5.5;Pemasangan 1 m2 dinding bilik, rangka kayu kelas III atau IV;m2; Rp128.991,00 ;Revisi;tidak ada perubahan koefisien ;;
;3.10.5.6;Pemasangan kering 1 m2 dinding marmer 100x100 cm tebal 2 cm;m2; Rp1.548.363,00 ;0;0;;
;3.10.5.7;Pemasangan basah 1 m2 dinding marmer 100x100 cm tebal 2 cm;m2; Rp1.318.643,00 ;0;0;;
;3.10.6;RANGKA DINDING ;;;0;0;;
;3.10.6.1;Pemasangan 1 m2 rangka besi hollow galvanis 40x40 mm, modul 60x120 cm, untuk partisi;m2; Rp67.955,00 ;0;0;;
;3.10.6.2;Pemasangan 1 m2 rangka dinding pemisah 60x120 cm kayu kelas II atau III;m2; Rp714.037,00 ;Revisi;Tidak ada Perubahan koefisien, tapi perubahan di bahan paku jadi paku 5dan 7 cm ;;
;3.10.6.3;Pemasangan 1 m2 Rangka Besi Hollow Galvanis 20x40 mm;m2; Rp90.263,00 ;0;0;;
;3.11;PEKERJAAN PINTU DAN JENDELA;;;;;;
;3.11.1;Pintu ;;;;;;
;3.11.1.1;Pemasangan 1 m2 rolling door besi;m2; Rp587.314,00 ;Revisi;Perubahan semua koefisien Tenaga kerja dan penambahan Peralatan;;
;3.11.1.2;Pemasangan 1 m2 rolling door alumunium;m2; Rp680.971,00 ;Revisi;Perubahan di Koefisien Tenaga Kerja ;;
;3.11.1.3;Pemasangan 1 m2 pintu lipat PVC;m2; Rp841.170,00 ;Revisi;Perubahan di Koefisien Tenaga Kerja ;;
;3.11.1.4;Pemasangan 1 m2 pintu aluminium strip lebar 8 cm;m2; Rp1.457.500,00 ;0;0;;
;3.11.1.5;Pemasangan 1 m2 pintu kaca Tebal 6 mm rangka aluminium;m2; Rp242.040,00 ;Revisi;"Tidak ada perubahan Koefisien hanya  penambahan judul ""kaca tebal 6 mm"" dan perubahan nama  bahan saja ";;
;3.11.1.6;Pemasangan 1 m2 jendela kacaTebal 6 mm  rangka aluminium;m2; Rp242.040,00 ;Revisi;"Tidak ada perubahan Koefisien hanya  penambahan judul ""kaca tebal 6 mm"" dan perubahan nama  bahan saja ";;
;3.11.1.7;Pembuatan dan pemasangan 1 m2 pintu klamp standar, kayu kelas II;m2; Rp737.843,00 ;0;0;;
;3.11.1.8;Pembuatan dan pemasangan 1 m2 pintu klamp sederhana, kayu kelas III;m2; Rp586.987,00 ;Revisi ;Tidak ada perubahan koefisien hanya bahan paku 2 inch jadi paku 5 - 7 cm;;
;3.11.1.9;Pembuatan 1 m2 pintu dan jendela kaca, kayu kelas I atau II;m2; Rp495.865,00 ;Revisi;Perubahan koefisien Kayu Papan kelas II 0,040 jadi 0,024;;
;3.11.1.10;Pembuatan 1 m2 pintu dan jendela jalusi, kayu kelas I atau II;m2; Rp1.662.870,00 ;0;0;;
;3.11.1.11;Pembuatan 1 m2 daun pintu panel, kayu kelas I atau II;m2; Rp1.293.270,00 ;0;0;;
;3.11.1.12;Pembuatan 1 m2 daun pintu plywood rangkap, rangka kayu kelas II tertutup (lebar s.d. 90 cm);m2; Rp944.790,00 ;0;0;;
;3.11.1.13;Pembuatan 1 m2 daun pintu plywood rangkap, rangka expose kayu kelas I atau II;m2; Rp1.012.055,00 ;0;0;;
;3.11.1.14;Pembuatan dan pemasangan 1 buah pintu panel kayu lapis timbal di tengah (khusus RS/Laboratorium/R.Radiologi) ;m2; Rp11.812.174,00 ;0;0;;
;3.11.1.15;Pembuatan dan pemasangan 1 m2 pintu besi pelat baja tebal 2 mm rangkap, rangka baja siku ;m2; Rp1.407.892,00 ;0;0;;
;3.11.1.16;Pemasangan 1 buah pintu besi tahan api;m2; Rp9.266.331,00 ;0;0;;
;3.11.1.17;Pemasangan 1 m2 pintu engineering wood;m2; Rp1.458.930,00 ;0;0;;
;3.11.1.18;Pemasangan 1 buah Pintu uPVC lebar 80 cm lengkap dengan aksesoris ;m2; Rp1.196.928,00 ;0;0;;
;3.11.1.19;Pemasangan 1 buah Pintu uPVC lebar 70 cm lengkap dengan aksesoris ;m2; Rp852.518,00 ;0;0;;
;3.11.2;JENDELA ;;;0;0;;
;3.11.2.1;Pemasangan 1 m2 Jendela Kaca Tebal 5 mm Nako Aluminium ;m2; Rp369.710,00 ;Revisi;"tidak ada perubahan koefisien ,Penambahan Judul ""Kaca tebal 5 mm"" dan penambhan uraian nama bahan";;
;3.11.2.2;Pemasangan 1 m2 jendela Kaca Tebal 5 mm nako dan tralis;buah ; Rp408.210,00 ;Revisi;"tidak ada perubahan koefisien ,Penambahan Judul ""Kaca tebal 5 mm"" dan penambhan uraian nama bahan";;
;3.11.2.4;Pemasangan 1 buah Jendela Kaca Upvc 1 daun ukuran 0,79 x 1,30 m;buah ; Rp2.224.568,00 ;0;0;;
;3.11.3 ;Kusen Pintu dan Jendela ;;;0;0;;
;3.11.3.1;Pemasangan 1 m' kusen aluminium;; Rp175.583,00 ;0;0;;
;3.11.3.2;Pembuatan dan pemasangan 1 m’ kusen pintu dan kusen jendela, kayu kelas I uk. 6x12 cm;m'; Rp312.778,00 ;0;0;;
;3.11.3.3;Pembuatan dan pemasangan 1 m’ kusen pintu dan kusen jendela, kayu kelas I uk. 6x15 cm;m'; Rp373.278,00 ;0;0;;
;3.11.3.4;Pembuatan dan pemasangan 1 m’ kusen pintu dan kusen jendela, kayu kelas II atau III uk. 6x12 cm;m'; Rp189.325,00 ;0;0;;
;3.11.3.5;Pembuatan dan pemasangan 1 m’ kusen pintu dan kusen jendela, kayu kelas II atau III uk. 6x15 cm;m'; Rp218.244,00 ;0;0;;
;3.11.3.6;Pembuatan dan pemasangan 1 m2 jalusi kusen, kayu kelas I atau II;m2; Rp1.372.349,00 ;0;0;;
;3.11.3.7;Pemasangan 1 buah Jalusi Upvc;buah ; Rp71.137,00 ;0;0;;
;3.11.3.8;Pemasangan 1 buah Kusen Bovenlight uPVC;buah ; Rp313.687,00 ;0;0;;
;3.11.4;AKSESORIS PINTU DA JENDELA ;;;0;0;;
;3.11.4.1;Pemasangan 1 buah kunci tanam antik;buah ; Rp276.980,00 ;0;0;;
;3.11.4.2;Pemasangan 1 buah kunci tanam biasa;buah ; Rp166.595,00 ;0;0;;
;3.11.4.3;Pemasangan 1 buah kunci tanam kamar mandi;buah ; Rp145.255,00 ;0;0;;
;3.11.4.4;Pemasangan 1 buah kunci tanam silinder;buah ; Rp170.665,00 ;0;0;;
;3.11.4.5;Pemasangan 1 buah engsel pintu;buah ; Rp64.212,00 ;0;0;;
;3.11.4.6;Pemasangan 1 buah engsel tanam (floor hinge);buah ; Rp646.426,00 ;Revisi;Tidak ada perubahan;;
;3.11.4.7;Pemasangan 1 buah Door Closer ;buah ; Rp282.865,00 ;0;0;;
;3.11.4.8;Pemasangan 1 buah Door Holder ;buah ; Rp187.715,00 ;0;0;;
;3.11.4.9;Pemasangan 1 buah Door Stop;buah ; Rp83.985,00 ;0;0;;
;3.11.4.10;Pemasangan 1 buah Rel Pintu Dorong;buah ; Rp385.660,00 ;0;0;;
;3.11.4.11;Pemasangan 1 buah Venetions Blinds dan Vertical Blinds;buah ; Rp257.636,00 ;0;0;;
;3.11.4.12;Pemasangan 1 m2 Teralis Besi Strip ;buah ; Rp197.892,00 ;Revisi;"Perubahan di koefisien semua Tenaga Kerja,  Teralis Besi Strip (satuan kg jadi m2) dan penghapusan Bahan ""Pengelasan""";;
