;NO;URAIAN PEKERJAAN;SATUAN;HARGA SATUAN;KETERANGAN;;;
;1.2.3.2.2;Penggalian 1 m3 tanah berbatu sedalam > 1 s.d 2 m secara semi mekanis ;m3; Rp252.010,00 ;0;0;;
;1.2.3.2.3;Penggalian 1 m3 tanah berbatu sedalam > 2 s.d 3 m secara semi mekanis ;m3; Rp279.048,00 ;0;0;;
;1.2.3.2.4;Penggalian 1 m3 tanah berbatu sedalam > 3 , setiap tambahan dalam 1 m secara semi mekanis ;m3; Rp31.130,00 ;0;0;;
;1.2.4;Tanah Keras atau Cadas ;;;;;;
;1.2.4.1;Cara Manual ;;;0;0;;
;1.2.4.1.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume s.d 200m3 secara manual ;m3; Rp181.500,00 ;0;0;;
;1.2.4.1.2;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m untuk volume > 200 m3 secara manual ;m3; Rp140.250,00 ;0;0;;
;1.2.4.1.3;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume s.d 200 m3 secara manual ;m3; Rp178.200,00 ;0;0;;
;1.2.4.1.4;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m untuk volume > 200 m3 secara manual ;m3; Rp183.744,00 ;0;0;;
;1.2.4.1.5;Penggalian 1 m3 cadas atau tanah keras sedalam > 2 s.d 3 m untuk volume >s.d 200 m3 secara manual ;m3; Rp198.000,00 ;0;0;;
;1.2.4.1.6;Penggalian 1 m3 cadas atau tanah keras sedalam > 3 m tiap tambahan dalam 1 m  secara manual ;m3; Rp13.200,00 ;0;0;;
;1.2.4.2;Cara Semi Mekanis ;;;0;0;;
;1.2.4.2.1;Penggalian 1 m3 cadas atau tanah keras sedalam > 0 s.d 1 m secara semi mekanis ;m3; Rp189.332,00 ;0;0;;
;1.2.4.2.2 ;Penggalian 1 m3 cadas atau tanah keras sedalam > 1 s.d 2 m secara semi mekanis ;m3; Rp206.437,00 ;0;0;;
;1.2.4.2.3 ;Penggalian 1 m3 cadas atau tanah keras sedalam > 2 s.d 3 m secara semi mekanis ;m3; Rp228.844,00 ;0;0;;
;1.2.4.2.4 ;Penggalian 1 m3 cadas atau tanah keras sedalam > 3 m tiap tambahan dalam 1 m secara semi mekanis ;m3; Rp23.320,00 ;0;0;;
;1.2.5;Lumpur;;;;;;
;1.2.5.1;Cara Manual ;;;0;0;;
;1.2.5.1.1;Penggalian 1 m3 galian lumpur sedalam >0 s.d 1 m untuk volume s.d 200 m3 secara manual;m3; Rp145.200,00 ;0;0;;
;1.2.5.1.2;Penggalian 1 m3 galian lumpur sedalam >0 s.d 1 m untuk volume > 200 m3 secara manual;m3; Rp109.560,00 ;0;0;;
;1.2.5.1.3;Penggalian 1 m3 galian lumpur sedalam > 1 m s.d 2 m untuk volume s.d 200 m3 secara manual;m3; Rp174.240,00 ;0;0;;
